Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,349641119,4485.718245031413,21977724,281.9630534675895,2899491,5592266,71.74593680232685,52530,0.673933260725837,7892,
United States of America,Americas,69727991,21065.69,4633796,1399.927,763485,858470,259.354,13367,4.038,3545
India,South-East Asia,39543328,2865.449,2163075,156.744,306064,489848,35.496,3397,0.246,439
Brazil,Americas,23909175,11248.231,933452,439.149,157393,622801,293.001,1830,0.861,238
France,Europe,16286388,25040.819,2467016,3793.112,301324,125921,193.607,1607,2.471,115
The United Kingdom,Europe,15859292,23361.652,638307,940.263,74800,153862,226.648,1872,2.758,75
Russian Federation,Europe,11108191,7611.767,273931,187.708,0,326767,223.914,4777,3.273,655
Turkey,Europe,10946238,12978.846,489965,580.947,65503,85969,101.933,1211,1.436,185
Italy,Europe,9923678,16638.884,1216763,2040.129,142487,143523,240.643,2419,4.056,227
Spain,Europe,8834364,18664.433,364839,770.798,0,91599,193.522,342,0.723,0
Germany,Europe,8744840,10514.832,744718,895.452,63393,116746,140.376,1097,1.319,28
Argentina,Americas,7792652,17241.993,763028,1688.273,98146,119103,263.527,1114,2.465,134
Iran (Islamic Republic of),Eastern Mediterranean,6250490,7441.684,29457,35.071,5144,132230,157.43,155,0.185,28
Colombia,Americas,5714092,11229.889,202613,398.195,28027,132023,259.464,1163,2.286,199
Mexico,Americas,4646957,3604.171,265569,205.975,51368,303085,235.072,1639,1.271,364
Poland,Europe,4547315,11979.816,223835,589.689,29097,103846,273.58,1535,4.044,2
Indonesia,South-East Asia,4289305,1568.166,16884,6.173,2927,144227,52.729,53,0.019,7
Netherlands,Europe,3889669,22344.679,321070,1844.426,65393,21211,121.849,57,0.327,1
Ukraine,Europe,3870370,8849.845,110840,253.443,12915,99282,227.015,921,2.106,67
South Africa,Africa,3581359,6038.506,22129,37.312,1931,94177,158.791,813,1.371,114
Philippines,Western Pacific,3417216,3118.436,211912,193.384,29828,53472,48.797,565,0.516,66
Peru,Americas,2894215,8777.835,331681,1005.952,54696,204141,619.137,765,2.32,147
Canada,Americas,2868862,7601.214,119555,316.768,0,32220,85.369,754,1.998,0
Malaysia,Western Pacific,2832945,8752.843,24598,76,3856,31892,98.536,99,0.306,9
Czechia,Europe,2763800,25844.546,159729,1493.64,12935,37050,346.458,136,1.272,16
Belgium,Europe,2697239,23408.575,205049,1779.562,0,28780,249.773,114,0.989,0
Israel,Europe,2385826,27564.146,509744,5889.222,83088,8454,97.672,110,1.271,16
Thailand,South-East Asia,2384639,3416.389,53225,76.254,7139,22045,31.583,107,0.153,13
Portugal,Europe,2221825,21579.688,336847,3271.659,45569,19569,190.066,266,2.584,30
Japan,Western Pacific,2169653,1715.46,289814,229.145,48411,18506,14.632,73,0.058,16
Iraq,Eastern Mediterranean,2154237,5355.802,39924,99.258,4931,24287,60.382,40,0.099,4
Viet Nam,Western Pacific,2141422,2199.973,117876,121.099,14978,36719,37.723,1110,1.14,123
Romania,Europe,2017129,10435.852,113701,588.245,14088,59547,308.073,307,1.588,22
Chile,Americas,1965393,10281.295,88783,464.439,15718,39512,206.694,118,0.617,15
Switzerland,Europe,1871445,21623.658,132522,1531.229,0,12164,140.549,45,0.52,0
Greece,Europe,1793311,16730.887,132437,1235.585,12108,22635,211.176,651,6.074,86
Sweden,Europe,1784005,17274.167,167826,1625.026,0,15674,151.768,53,0.513,0
Bangladesh,South-East Asia,1699964,1032.224,75577,45.891,14828,28238,17.146,84,0.051,15
Australia,Western Pacific,1657485,6499.971,279036,1094.264,31660,3103,12.169,435,1.706,40
Austria,Europe,1609872,18086.287,166782,1873.731,22190,13519,151.881,36,0.404,1
Serbia,Europe,1544900,22303.534,108505,1566.474,12159,13271,191.592,200,2.887,32
Hungary,Europe,1441385,14753.889,93152,953.496,39928,40944,419.099,437,4.473,122
Denmark,Europe,1397833,24006.352,266627,4579.046,42018,3608,61.964,114,1.958,12
Pakistan,Eastern Mediterranean,1367605,619.127,43458,19.674,7586,29097,13.172,85,0.038,20
Kazakhstan,Europe,1243220,6621.076,97055,516.89,11364,18391,97.946,73,0.389,9
Ireland,Europe,1145968,23083.53,42479,855.665,4731,6087,122.612,52,1.047,0
Jordan,Eastern Mediterranean,1141048,11183.309,40081,392.83,6951,13073,128.127,87,0.853,11
Morocco,Eastern Mediterranean,1098413,2975.877,49760,134.812,4435,15132,40.996,156,0.423,19
Georgia,Europe,1059392,26556.669,60049,1505.299,7947,14732,369.299,251,6.292,31
Cuba,Americas,1022112,9023.984,22919,202.346,3508,8363,73.835,23,0.203,5
Slovakia,Europe,921422,16882.438,40751,746.646,3503,17675,323.844,323,5.918,32
Nepal,South-East Asia,918448,3152.192,58963,202.366,8054,11659,40.015,36,0.124,4
Bulgaria,Europe,880228,12662.451,59620,857.659,2847,32664,469.885,578,8.315,28
Croatia,Europe,877060,21612.231,59625,1469.26,7095,13407,330.371,289,7.121,36
Lebanon,Eastern Mediterranean,865229,12676.521,45059,660.162,6381,9487,138.995,104,1.524,13
Tunisia,Eastern Mediterranean,853905,7225.083,65893,557.536,7144,25988,219.89,185,1.565,34
United Arab Emirates,Eastern Mediterranean,825699,8348.488,20451,206.776,2813,2214,22.385,23,0.233,3
Bolivia (Plurinational State of),Americas,804677,6893.477,55607,476.372,0,20570,176.218,332,2.844,0
Republic of Korea,Western Pacific,741413,1446.118,45383,88.519,7513,6565,12.805,232,0.453,25
Belarus,Europe,726860,7692.193,11217,118.707,1957,5933,62.788,109,1.154,17
Guatemala,Americas,669012,3734.249,17238,96.218,2995,16263,90.776,88,0.491,18
Ecuador,Americas,664664,3767.284,50632,286.98,0,34287,194.337,68,0.385,0
Saudi Arabia,Eastern Mediterranean,652354,1873.834,36924,106.061,4535,8920,25.622,14,0.04,2
Costa Rica,Americas,643496,12632.138,28903,567.38,0,7451,146.267,38,0.746,0
Panama,Americas,637519,14775.282,69941,1620.968,10629,7583,175.745,72,1.669,9
